donor_id,name,surname,location,age,sex,blood_type,probability_score,lat,lon,phone,email
D_00001,Danielle,Parab,Mumbai,38,F,B+,0.166,19.11574,72.86664,4332181960,williamjohnson@gmail.com
D_00002,Jennifer,Patel,Goa,26,M,B+,0.034,15.32162,74.20484,3794026542,jamesmichael@yahoo.com
D_00003,Cassandra,Parab,Bengaluru,18,M,O+,0.052,12.99096,77.44154,7816184959,kendragalloway@gmail.com
D_00004,Michelle,Singh,Nagpur,24,M,AB+,0.0,21.11156,79.02881,4752553419,stevennelson@hotmail.com
D_00005,Hailey,Bhagat,Mumbai,26,M,O+,0.116,19.0814,72.76372,5030564139,pwilkerson@yahoo.com
D_00006,Douglas,Patel,Bengaluru,34,M,O+,0.0,12.92358,77.6704,3884969653,camposmichelle@gmail.com
D_00007,Courtney,Sharma,Goa,40,F,O+,0.0,15.29822,74.03938,9166978480,daniel62@yahoo.com
D_00008,Aaron,Patel,Nagpur,34,F,Bombay(Oh),0.944,21.36807,79.18369,8281489325,georgetracy@gmail.com
D_00009,Sarah,Bhagat,Goa,18,F,AB-,0.074,15.29005,74.09991,3039117182,josephbrennan@yahoo.com
D_00010,Tamara,Fernandes,Pune,20,M,AB+,0.087,18.41267,73.78625,4657871331,briannasmith@hotmail.com
D_00011,Crystal,Patel,Pune,42,M,AB+,0.057,18.46625,73.90563,1051834738,esanchez@yahoo.com
D_00012,James,Parab,Nagpur,18,M,A+,0.135,21.12923,79.03832,6566701065,amandataylor@gmail.com
D_00013,Joshua,Fernandes,Pune,40,F,AB-,0.128,18.43189,73.761,1781080132,michellebarrera@gmail.com
D_00014,Nicholas,Bhagat,Nagpur,41,M,O+,0.1,21.06277,79.08214,4746872343,adkinsbrian@hotmail.com
D_00015,Thomas,Khan,Mumbai,18,F,A+,0.101,19.07313,73.00287,0812191361,harveyrobert@hotmail.com
D_00016,Annette,Singh,Pune,41,M,B+,0.011,18.4069,73.9401,4353462475,jonesjason@yahoo.com
